,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
122,sj_8c4abdb6cce83eb2,60,25,14,1557.0,754.0,325.0,344.0,214.0,67.0,22.253731343283583,11.253731343283581,5.134328358208955
123,sj_f39d00aa74a1907d,40,16,8,1829.0,949.0,386.0,361.0,245.0,79.0,22.164556962025316,12.012658227848101,4.556962025316456
124,sj_5ac4a1ea287d25f5,68,29,15,1392.0,672.0,295.0,321.0,201.0,58.0,23.017241379310345,11.586206896551724,5.5344827586206895
125,sj_845d813fab419e24,33,12,8,1454.0,769.0,323.0,326.0,215.0,54.0,25.944444444444443,14.24074074074074,6.037037037037037
126,sj_5a0eaf98059de731,38,13,6,1612.0,775.0,357.0,361.0,235.0,82.0,18.670731707317074,9.439024390243903,4.390243902439025
127,sj_8e500b4c7148f0f2,27,10,7,1356.0,718.0,293.0,297.0,196.0,55.0,23.672727272727272,13.054545454545455,5.4
128,sj_3bce6fa1f7a9831b,41,16,8,1195.0,601.0,292.0,255.0,180.0,66.0,17.12121212121212,9.106060606060606,3.8636363636363638
129,sj_1b10ded8be7ec67a,13,4,3,644.0,339.0,189.0,195.0,143.0,42.0,14.357142857142858,8.071428571428571,4.642857142857143
130,sj_0ccb61af1d50b94d,37,16,8,1237.0,620.0,289.0,268.0,191.0,62.0,18.967741935483872,10.0,4.32258064516129
131,sj_9698f278c971a652,32,13,9,1726.0,905.0,343.0,427.0,246.0,54.0,30.98148148148148,16.75925925925926,7.907407407407407
132,sj_f480874dc5797d37,37,16,8,1364.0,678.0,304.0,308.0,193.0,74.0,17.445945945945947,9.162162162162161,4.148648648648648
133,sj_99a1bf918ae8988c,41,16,8,1323.0,669.0,306.0,292.0,195.0,69.0,18.18840579710145,9.695652173913043,4.231884057971015
